Step 128, Minibatch Loss= 1.542469, Training Accuracy= 0.53906
Step 25600, Minibatch Loss= 0.663156, Training Accuracy= 0.64423
Step 51200, Minibatch Loss= 0.664816, Training Accuracy= 0.61538
Step 76800, Minibatch Loss= 0.661845, Training Accuracy= 0.61538
Step 102400, Minibatch Loss= 0.655553, Training Accuracy= 0.64423
Step 128000, Minibatch Loss= 0.643918, Training Accuracy= 0.71154
Step 153600, Minibatch Loss= 0.619248, Training Accuracy= 0.77885
Step 179200, Minibatch Loss= 0.557434, Training Accuracy= 0.80769
Step 204800, Minibatch Loss= 0.442590, Training Accuracy= 0.84615
Step 230400, Minibatch Loss= 0.372616, Training Accuracy= 0.84615
Step 256000, Minibatch Loss= 0.347014, Training Accuracy= 0.85577
Step 281600, Minibatch Loss= 0.333345, Training Accuracy= 0.86538
Step 307200, Minibatch Loss= 0.323940, Training Accuracy= 0.88462
Step 332800, Minibatch Loss= 0.316525, Training Accuracy= 0.87500
Step 358400, Minibatch Loss= 0.310175, Training Accuracy= 0.88462
Step 384000, Minibatch Loss= 0.304451, Training Accuracy= 0.87500
Step 409600, Minibatch Loss= 0.299135, Training Accuracy= 0.88462
Step 435200, Minibatch Loss= 0.294118, Training Accuracy= 0.88462
Step 460800, Minibatch Loss= 0.289339, Training Accuracy= 0.88462
Step 486400, Minibatch Loss= 0.284763, Training Accuracy= 0.88462
Step 512000, Minibatch Loss= 0.280352, Training Accuracy= 0.88462
Step 537600, Minibatch Loss= 0.276042, Training Accuracy= 0.88462
Step 563200, Minibatch Loss= 0.271718, Training Accuracy= 0.88462
Step 588800, Minibatch Loss= 0.267172, Training Accuracy= 0.88462
Step 614400, Minibatch Loss= 0.262100, Training Accuracy= 0.89423
Step 640000, Minibatch Loss= 0.256107, Training Accuracy= 0.89423
Step 665600, Minibatch Loss= 0.248688, Training Accuracy= 0.89423
Step 691200, Minibatch Loss= 0.239167, Training Accuracy= 0.90385
Step 716800, Minibatch Loss= 0.226799, Training Accuracy= 0.91346
Step 742400, Minibatch Loss= 0.211187, Training Accuracy= 0.91346
Step 768000, Minibatch Loss= 0.189841, Training Accuracy= 0.94231
Step 793600, Minibatch Loss= 0.164092, Training Accuracy= 0.97115
Step 819200, Minibatch Loss= 0.196955, Training Accuracy= 0.95192
Step 844800, Minibatch Loss= 0.178061, Training Accuracy= 0.95192
Step 870400, Minibatch Loss= 0.152057, Training Accuracy= 0.96154
Step 896000, Minibatch Loss= 0.073138, Training Accuracy= 0.99038
Step 921600, Minibatch Loss= 0.062065, Training Accuracy= 0.99038
Step 947200, Minibatch Loss= 0.070636, Training Accuracy= 0.99038
Step 972800, Minibatch Loss= 0.056157, Training Accuracy= 0.99038
Step 998400, Minibatch Loss= 0.050493, Training Accuracy= 0.99038
Step 1024000, Minibatch Loss= 0.046498, Training Accuracy= 0.99038
Step 1049600, Minibatch Loss= 0.043509, Training Accuracy= 0.99038
Step 1075200, Minibatch Loss= 0.041086, Training Accuracy= 0.99038
Step 1100800, Minibatch Loss= 0.039055, Training Accuracy= 0.99038
Step 1126400, Minibatch Loss= 0.037311, Training Accuracy= 0.99038
Step 1152000, Minibatch Loss= 0.035803, Training Accuracy= 0.99038
Step 1177600, Minibatch Loss= 0.034500, Training Accuracy= 0.99038
Step 1203200, Minibatch Loss= 0.035549, Training Accuracy= 0.99038
Step 1228800, Minibatch Loss= 0.034773, Training Accuracy= 0.99038
Step 1254400, Minibatch Loss= 0.033929, Training Accuracy= 0.99038
Step 1280000, Minibatch Loss= 0.033212, Training Accuracy= 0.99038
Optimization Finished!
Elapsed training time =  201.373049021
Testing Accuracy: 0.97
